Société de gestion,,Nom de la SCPI,Valeur IFI,Non résident,DICI (Document d'informations clés)
AMUNDI,321,AMUNDI DEFI FONCIER,"1 585,65€","1 585,65€",Doc Absent
AMUNDI,368,AMUNDI DEFI FONCIER 2,"796,68€","796,68€",Doc Absent
AMUNDI,369,AMUNDI SELECTION LOGEMENT,"291,09€","291,09€",Doc Absent
AMUNDI,393,Duo Habitat,"1 890,61€","1 890,61€",SCPI absente dans Amundi
AMUNDI,220,Edissimmo,"193,43€","176,51€",Doc Absent
AMUNDI,247,Gemmeo commerce,"173,73€","173,73€",Doc Absent
AMUNDI,261,Génépierre,"213,98€","189,92€",Doc Absent
AMUNDI,308,L'Oustal des Aveyronnais,"1 176,04€","1 176,04€",Doc Absent
AMUNDI,395,Lion SCPI Avantage,"2 094,63€","2 094,63€",SCPI absente dans Amundi
AMUNDI,408,Premely habitat,"1 825,92€","1 825,92€",SCPI absente dans Amundi
AMUNDI,409,Premely habitat 2,"1 694,37€","1 694,37€",SCPI absente dans Amundi
AMUNDI,365,Premely Habitat 3,"1 697,91€","1 697,91€",Doc Absent
AMUNDI,334,Reximmo Patrimoine 1,"3 307,82€","3 307,82€",Doc Absent
AMUNDI,356,Reximmo Patrimoine 2,"3 241,23€","3 241,23€",Doc Absent
AMUNDI,274,Reximmo Patrimoine 3,"1 658,48€","1 658,48€",Doc Absent
AMUNDI,324,Reximmo Patrimoine 4,"1 442,23€","1 442,23€",Doc Absent
AMUNDI,219,Rivoli Avenir Patrimoine,"235,57€","217,40€",3
AMUNDI,380,SG Pierre patrimoine,"1 902,85€","1 902,85€",SCPI absente dans Amundi
AMUNDI,381,SG Pierre patrimoine 2,"1 507,10€","1 507,10€",SCPI absente dans Amundi
Atlantique gérance,328,Atlantique Murs Régions,"903,6","903,6",Doc Absent
ATREAM,373,Atream Hotel,,,4
ATREAM,338,CaracPerspectives Immo,,,Doc Absent
BNP Paribas Reim,260,ACCèS VALEUR PIERRE,"467,71","467,71",4
BNP Paribas Reim,259,ACCIMMO PIERRE,"169,88","169,88",3
BNP Paribas Reim,386,AV Habitat,"611,71","611,71",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,387,AV Habitat 2,"591,74","591,74",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,382,Capital Habitat,"601,26","601,26",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,289,France INVESTIPIERRE,"222,68","222,68",4
BNP Paribas Reim,415,OPUS REAL,"1264,73",0,2
BNP Paribas Reim,404,pierre avenir,"611,39","611,39",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,405,pierre avenir 2,"538,82","538,82",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,406,pierre avenir 3,"508,77","508,77",SCPI absente dans BNP Paribas Reim
BNP Paribas Reim,291,PIERRE SELECTION,"328,88","328,88",4
BNP Paribas Reim,284,SOPRORENTE,"266,6","266,6",4
CM CIC AM,307,CM-CIC Pierre investissement,"240,74","240,74",SCPI absente dans CM CIC AM
Corum AM,226,CORUM Conviction,"933,18€","158,64€",2
Corum AM,398,Corum Patrimoine résidentiel 1,"520,47€","520,47€",Doc Absent
Corum AM,418,CORUM XL,"122,10€","0,00€",4
Deltager,332,Unidelta,1200,1200,
Euryale,407,PIERVAL,"1112,41","1112,41",SCPI absente dans  Euryale
Euryale AM,316,PIERVAL SANTE,"859,24","538,60€",Doc Absent
Fiducial Gérance,229,BUROBOUTIC,"225,40€","225,40€",Doc Absent
Fiducial Gérance,279,FICOMMERCE,"192,30€","192,30€",Doc Absent
Fiducial Gérance,277,Foncier Etudes,,,Doc Absent
Fiducial Gérance,311,LOGIPIERRE 1,"511,50€","511,50€",Doc Absent
Fiducial Gérance,295,LOGIPIERRE 3,"2438,5","2438,5",Doc Absent
Fiducial Gérance,299,PIERRE EXPANSION,"213,00€","213,00€",Doc Absent
Fiducial Gérance,296,SELECTIPIERRE 2,"563,80€","563,80€",Doc Absent
Fiducial Gérance,410,primo 1,403,403,
FONCIA,300,FONCIA CAP'HERBEGIMMO,"185,95€","161,21€",3
FONCIA,276,FONCIA PIERRE RENDEMENT,"853,09€","817,68€",3
FONCIA,293,LE PATRIMOINE FONCIER,"1292,31","1 292,31€",3
FONCIA,331,PIERREREVENUS,"247,57€","244,43€",3
FONCIA,301,PLACEMENT PIERRE,"301,44€","270,03€",
Foncière et territoire,319,Nord est horizon,"225,00€","225,00€",3
Foncière et territoire,419,Ouest cap atlantique,"225,00€","225,00€",3
Foncière et territoire,239,Rhone alpes méditerrannée,"225,00€","225,00€",3
GROUPAMA,339,AFFINITES PIERRE,"186,18€","186,18€", Doc Absent
HSBC REIM,238,Elysées Pierre,"720,16€","720,16€",3
HSBC REIM,400,Elysées Résidence 5,"1 074,49€","1 074,49€",SCPI absente dans HSBC REIM
IMMOVALOR,353,ALLIANZ DOMIDURABLE 1,"1 296,93€","1 296,93€", Doc Absent
IMMOVALOR,363,ALLIANZ DOMIDURABLE 2,"1 352,08€","1 352,08€", Doc Absent
IMMOVALOR,336,ALLIANZ DOMIDURABLE 3,"626,21€","626,21€", Doc Absent
IMMOVALOR,367,ALLIANZ DOMIDURABLE 4,"126,21€","126,21€", Doc Absent
IMMOVALOR,255,ALLIANZ PIERRE,"281,76€","281,76€",3
IMMOVALOR,390,Domivalor,"925,37€","925,37€",SCPI absente dans IMMOVALOR
IMMOVALOR,391,Domivalor 2,"1 322,14€","1 322,14€",SCPI absente dans IMMOVALOR
IMMOVALOR,392,Domivalor 3,"1 317,79€","1 317,79€",SCPI absente dans IMMOVALOR
IMMOVALOR,399,Domivalor 4,"1 276,95€","1 276,95€",SCPI absente dans IMMOVALOR
INTERGESTION,244,CRISTAL RENTE,"1 056,00€","1 056,00€",Doc Absent
INTERGESTION,282,Grand Paris Pierre,"810,00€","810,00€",Doc Absent
INTERGESTION,335,Grand Paris Pierre Capitalisation,"800,00€","800,00€",Doc Absent
Intergestion,379,patrimoine pierre,,,SCPI absente dans Intergestion
Intergestion,426,pierre capitalisation,"810,00€","810,00€",Doc Absent
INTERGESTION,377,Pierre investissement 3,"4 412,00€","4 412,00€",SCPI absente dans INTERGESTION
INTERGESTION,378,Pierre investissement 4,"4 152,00€","4 152,00€",SCPI absente dans INTERGESTION
INTERGESTION,362,Pierre investissement 5,"4 479,00€","4 479,00€",Doc Absent
INTERGESTION,359,Pierre investissement 6,"4 427,00€","4 427,00€",Doc Absent
INTERGESTION,357,Pierre investissement 7,"6 139,00€","6 139,00€",Doc Absent
INTERGESTION,312,Pierre investissement 8,"665,00€","665,00€",Doc Absent
INTERGESTION,333,Pierre investissement 9,"237,00€","237,00€",Doc Absent
Intergestion,411,renogreen,"852,00€","852,00€",Doc Absent
Intergestion,396,renovalor,"4 062,00€","4 062,00€",SCPI absente dans Intergestion
Intergestion,412,renovalor 2,"4 195,00€","4 195,00€",Doc Absent
La Française,242,CRÉDIT MUTUEL PIERRE 1,"212,62€","208,05€",Doc Absent
La Française,234,EPARGNE FONCIERE,"700,67€","647,70€",Doc Absent
La Française,263,EUROFONCIERE 2,"226,05€","195,83€",Doc Absent
La Française,320,EUROPIMMO MARKET,"820,36€","135,84€",Doc Absent
La Française,322,LF EUROPIMMO,"866,04€","294,29€",Doc Absent
La Française,273,LF OPPORTUNITÉ IMMO,"110,02€","110,02€",Doc Absent
La Française,266,LF PIERRE,"68109,1","68109,1",SCPI absente dans La Française
La Française,313,LFP Renovimmo,"771,12","771,12",Doc Absent
La Française,343,MULTI HABITATION,"918,57€","918,57€",SCPI absente dans La Française
La Française,371,MULTI HABITATION 10,"96,44€","96,44€",Doc Absent
La Française,344,MULTI HABITATION 2,"1184,77","1184,77",Doc Absent
La Française,345,MULTI HABITATION 3,"1370,42","1370,42",Doc Absent
La Française,346,MULTI HABITATION 4,"1482,66","1482,66",Doc Absent
La Française,347,MULTI HABITATION 5,"1290,83","1290,83",Doc Absent
La Française,348,MULTI HABITATION 6,"1309,61","1309,61",Doc Absent
La Française,309,MULTI HABITATION 7,"1285,43","1285,43",Doc Absent
La Française,314,MULTI HABITATION 8,"1259,75","1259,75",Doc Absent
La Française,326,MULTI HABITATION 9,"880,00€","880,00€",Doc Absent
La Française,248,MULTIMMOBILIER 2,"699,49€","663,02€",Doc Absent
La Française,252,PIERRE PRIVILEGE,"734,88€","675,39€",Doc Absent
La Française,245,SELECT INVEST 1,"503,39€","491,96€",Doc Absent
La Française,397,UFG Pierre et Vacances conseil immobilier,"4579,03","4579,03",Doc Absent
Norma Capital,325,VENDOME REGIONS,"563,2","563,2",Doc Absent
PAREF,271,Atlantique Pierre 1,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,285,Capiforce Pierre,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,264,Cifocoma 1,Semaineprochaine,Semaineprochaine,SCPI Absente de la PAREF
PAREF,278,Cifocoma 2,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,241,Interpierre France,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,240,Novapierre 1,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,317,Novapierre Allemagne,Semaineprochaine,Semaineprochaine,Doc Absent
PAREF,235,Pierre 48,Semaineprochaine,Semaineprochaine,Doc Absent
Périal,256,PF Grand paris,"405,94€","405,94€",3
Périal,262,PFO,"823,25€","784,73€",Doc Absent
Périal,237,PFO2,"172,95€","153,74€",Doc Absent
Primonial,223,PATRIMMO COMMERCE,"162,23€","122,87€",Doc Absent
Primonial,318,PATRIMMO CROISSANCE,"477,22€","474,39€",Doc Absent
Primonial,403,patrimmo habitation 1,"409,67€","409,67€",SCPI Absente de Primonial
Primonial,423,primofamily,"170,02€","170,02€",SCPI Absente de Primonial
Primonial,224,PRIMOPIERRE,"178,56€","178,56€",Doc Absent
Primonial,272,PRIMOVIE,"165,12€","142,34€",Doc Absent
Primonial,297,UFFIFRANCE IMMOBILIER,"138,09€","138,09€",Doc Absent
SOFIDY,253,EFIMMO 1,"197,63€","178,10€",Doc Absent
SOFIDY,232,IMMORENTE,"289,31€","228,71€",Doc Absent
SOFIDY,254,IMMORENTE 2,"258,71€","254,19€",Doc Absent
SOFIDY,251,SOFIPIERRE,"511,39€","490,54€",Doc Absent
SOFIDY,375,SOFIPRIME,"152,97€","152,97€",Doc Absent
Sogénial,225,Cœur de ville,"177,80€",177.80,Doc Absent
Swiss life,417,PIERRE CAPITALE,"796,15€","613,64€",3
UNOFI,294,notapierre,"331,20€","331,20€",Doc Absent
Urban,421,Drouot Estate Immo centre,,,Doc Absent
URBAN,228,URBAN PATRIMOINE 2,,,Doc Absent
URBAN,366,Urban Pierre 1,,,SCPI Absente de URBAN
URBAN,290,Urban Pierre 2,,,Doc Absent
URBAN,231,Urban Pierre 3,"421,83€",,Doc Absent
URBAN,424,Urban Pierre 4,,,Doc Absent
URBAN,364,Urban prestigimmo 1,,,SCPI Absente de URBAN
URBAN,323,Urban prestigimmo 2,"408,58€",,Doc Absent
URBAN,361,Urban prestigimmo 3,"408,69€",,Doc Absent
URBAN,327,Urban vitalim,,,Doc Absent
URBAN,422,Urban vitalim 2,,,Doc Absent
Urban ,413,Urban Patrimoine,,,Doc Absent
Voisin,394,Epargne Habitat,"1 151,50€","1 151,50€",SCPI Absente de VOISIN
Voisin,315,EPARGNE PIERRE,"184,50€","184,50€",3
Voisin,292,FONCIERE REMUSAT,"928,44€","928,44€",4
Voisin,288,IMMO PLACEMENT,"755,92€","755,92€",4
